ID_Aluno,ID_Disciplina,Presenca,Nota_Midterm,Nota_Final,Nota_Projetos,Nota_Total,Conceito
S2284,CS,58.64,50.97,72.26,99.31,66.46,C
S2285,Business,92.63,58.29,89.17,69.24,55.27,A
S2286,CS,57.0,66.9,62.66,63.15,71.73,C
S2287,Mathematics,70.04,61.89,61.16,94.71,82.06,D
S2288,CS,53.76,98.97,60.33,78.37,76.41,C
S2289,Engineering,77.26,90.1,95.39,86.09,51.46,B
S2290,Business,83.49,68.78,42.93,70.42,78.96,A
S2291,Engineering,97.06,92.76,66.7,94.35,61.6,B
S2292,Engineering,86.97,60.86,55.88,95.89,67.07,A
S2293,Mathematics,,87.15,93.63,71.84,65.61,D
S2294,Engineering,96.63,53.42,45.76,62.04,92.93,B
S2295,Engineering,,86.34,64.69,82.38,52.38,C
S2296,CS,78.06,67.39,64.41,97.73,67.4,B
S2297,Business,79.8,46.45,93.3,81.12,69.74,B
S2298,Engineering,70.5,56.4,52.93,97.71,80.94,C
S2299,Engineering,91.92,64.14,78.69,67.19,89.45,A
S2300,CS,59.26,84.96,48.06,95.75,86.38,F
S2301,Engineering,77.74,44.38,97.24,55.63,87.63,C
S2302,CS,86.11,79.57,75.58,67.94,59.62,A
S2303,CS,95.2,82.96,77.58,74.72,95.59,A
S2304,Engineering,94.2,79.24,66.03,82.66,70.71,A
S2305,CS,75.44,85.64,60.54,64.71,50.56,D
S2306,CS,,50.69,52.76,96.21,83.4,C
S2307,Engineering,69.71,75.23,76.24,95.17,80.2,C
S2308,CS,73.41,96.47,97.27,89.97,56.3,F
S2309,CS,95.31,76.65,61.59,55.72,97.99,B
S2310,CS,96.54,76.68,92.99,53.91,78.08,A
S2311,Engineering,94.77,84.19,48.93,74.91,73.46,A
S2312,Engineering,56.92,59.99,96.17,88.27,69.91,D
S2313,Business,,82.03,61.03,56.16,60.49,F
S2314,CS,97.42,94.97,62.78,82.07,97.64,A
S2315,CS,68.06,40.65,67.77,76.39,85.11,B
S2316,CS,75.93,92.21,83.09,86.3,78.38,C
S2317,Engineering,88.95,53.12,83.18,71.77,81.56,A
S2318,Mathematics,78.1,67.36,68.78,84.66,92.02,F
S2319,CS,99.67,91.14,71.39,57.98,81.79,A
S2320,CS,72.79,89.43,41.8,60.73,55.73,C
S2321,CS,85.7,93.52,58.26,95.17,84.86,A
S2322,Engineering,89.63,96.43,60.76,66.47,78.24,A
S2323,Engineering,74.71,66.83,73.52,99.28,98.32,D
S2324,Engineering,92.85,79.38,73.5,52.31,86.69,B
S2325,Business,77.31,63.43,82.59,74.79,67.2,B
S2326,Engineering,70.58,61.04,83.02,66.25,56.77,F
S2327,CS,55.39,65.9,54.11,99.8,74.11,C
S2328,CS,69.67,84.58,86.21,99.5,83.97,C
S2329,Engineering,86.7,70.09,41.18,61.76,58.86,A
S2330,Engineering,96.06,88.84,82.97,63.36,82.47,B
S2331,Engineering,62.58,84.71,46.12,87.48,91.28,B
S2332,Engineering,67.76,41.23,83.78,94.48,57.85,F
S2333,Engineering,,77.81,71.63,83.18,85.29,A
S2334,Business,84.54,66.19,66.24,93.24,53.41,A
S2335,Engineering,98.01,67.4,81.44,53.16,50.4,A
S2336,Business,82.05,89.1,42.18,82.03,51.63,A
S2337,CS,80.85,72.86,53.41,85.01,81.58,D
S2338,Engineering,77.67,93.14,76.99,59.52,98.67,C
S2339,Mathematics,54.42,82.77,90.83,88.9,88.57,D
S2340,CS,,73.17,62.87,97.21,62.72,C
S2341,Business,80.1,85.27,55.53,94.9,53.58,C
S2342,Business,83.07,42.3,71.12,62.25,80.83,C
S2343,CS,94.94,41.63,77.34,66.2,50.16,A
S2344,Engineering,89.2,45.0,65.21,74.98,89.63,A
S2345,CS,89.05,66.25,92.6,57.92,62.16,A
S2346,Mathematics,,54.13,71.41,97.7,64.96,D
S2347,Business,99.5,99.06,42.15,58.08,67.2,A
S2348,CS,79.06,72.54,53.38,88.07,88.18,A
S2349,CS,55.44,79.74,67.04,67.07,63.29,D
S2350,Engineering,,56.73,81.86,78.69,64.22,B
S2351,CS,89.38,59.31,53.19,52.36,77.05,B
S2352,CS,51.39,60.13,98.58,60.25,73.15,C
S2353,Engineering,52.84,81.92,59.11,72.22,97.78,D
S2354,CS,53.36,68.42,71.95,83.86,63.17,F
S2355,CS,86.55,71.06,41.14,88.88,54.59,A
S2356,Business,,75.52,93.09,51.51,77.05,C
S2357,Mathematics,68.44,86.13,87.33,57.62,59.23,C
S2358,Business,55.28,45.42,51.73,86.49,70.68,D
S2359,Business,,86.61,95.99,90.65,59.36,A
S2360,CS,66.05,73.79,58.95,61.83,94.05,C
S2361,CS,63.27,80.15,81.53,61.48,66.37,B
S2362,CS,82.62,59.65,89.14,54.4,88.74,F
S2363,Business,77.95,64.56,84.45,57.51,97.43,A
S2364,Mathematics,68.12,53.87,95.05,50.4,97.03,B
S2365,Business,82.07,98.76,91.86,79.49,76.24,F
S2366,Business,,69.82,99.68,95.19,99.16,F
S2367,Engineering,89.74,99.76,50.96,57.48,82.8,A
S2368,CS,61.47,69.39,58.29,87.57,56.42,C
S2369,Engineering,57.94,53.19,78.17,78.68,94.42,F
S2370,CS,89.12,70.45,83.98,97.0,73.43,A
S2371,CS,85.39,42.38,72.08,89.91,57.63,B
S2372,Engineering,59.13,94.29,44.44,92.64,89.57,C
S2373,Engineering,55.81,89.11,90.5,81.96,81.22,C
S2374,Engineering,91.92,83.55,97.65,90.57,94.11,A
S2375,Engineering,88.83,76.59,64.33,67.54,91.37,A
S2376,CS,66.36,74.79,53.49,60.45,66.01,A
S2377,Engineering,,99.8,41.16,95.63,62.82,A
S2378,Engineering,56.21,56.68,54.24,86.72,86.69,F
S2379,CS,,86.78,82.0,54.54,78.67,D
S2380,Business,50.94,74.88,94.7,93.35,53.49,F
S2381,Engineering,69.58,98.55,45.61,67.45,59.08,F
S2382,Engineering,53.74,89.67,73.2,64.91,57.57,F
S2383,Business,73.76,99.91,81.73,81.17,79.49,A
S2384,Business,71.08,75.3,56.58,78.43,54.29,F
S2385,Business,,52.27,74.19,76.91,60.39,C
S2386,CS,52.27,70.22,82.91,62.74,77.27,C
S2387,CS,68.08,82.67,90.26,97.99,56.65,F
S2388,CS,87.82,86.46,67.15,97.51,62.41,A
S2389,CS,68.45,40.03,84.87,50.21,95.34,C
S2390,Mathematics,85.76,70.3,58.11,66.89,84.86,B
S2391,Engineering,68.47,54.11,52.78,52.28,65.34,D
S2392,CS,,92.49,51.24,92.51,93.87,D
S2393,CS,78.19,49.17,61.53,94.33,62.51,A
S2394,CS,97.53,79.99,42.15,75.91,79.45,A
S2395,Engineering,55.44,55.96,56.98,91.98,68.42,D
S2396,Business,51.65,61.39,79.13,85.17,87.61,D
S2397,Business,80.4,96.43,78.88,74.98,68.58,B
S2398,Mathematics,97.45,54.43,44.41,68.19,62.44,A
S2399,CS,99.49,45.7,57.24,63.31,80.39,B
S2400,CS,74.21,44.16,74.17,62.97,87.27,A
S2401,CS,73.4,70.28,59.11,78.1,76.82,D
S2402,CS,82.25,78.5,65.08,58.34,85.81,B
S2403,Mathematics,,59.64,82.77,58.74,71.1,D
S2404,Engineering,81.7,81.42,40.56,50.52,89.77,C
S2405,Business,93.7,43.66,56.58,80.67,79.25,B
S2406,Engineering,87.32,91.44,48.54,99.72,59.81,A
S2407,CS,74.84,88.99,47.66,94.46,94.54,B
S2408,CS,73.09,99.13,97.54,85.28,91.84,F
S2409,Engineering,81.98,96.19,62.59,89.28,98.2,F
S2410,Business,72.79,61.37,71.63,70.84,78.45,A
S2411,CS,72.89,63.96,84.03,64.9,83.79,B
S2412,Business,50.82,84.76,42.85,68.43,93.18,F
S2413,Business,58.7,48.04,54.46,54.07,52.63,D
S2414,Engineering,74.43,58.84,89.93,81.69,95.61,B
S2415,Business,91.13,47.11,91.72,58.74,63.56,A
S2416,Engineering,63.94,67.29,62.38,88.14,52.85,A
S2417,Engineering,76.13,73.12,62.49,59.5,61.88,A
S2418,Business,67.25,52.67,85.41,61.41,79.32,F
S2419,Mathematics,55.24,41.6,57.7,97.87,52.39,D
S2420,CS,97.91,83.16,47.03,55.27,50.04,A
S2421,Engineering,92.73,41.2,55.45,74.94,81.97,A
S2422,CS,53.92,98.4,63.24,53.13,72.67,C
S2423,CS,85.99,53.3,43.13,54.52,92.22,B
S2424,Engineering,67.38,79.83,68.72,81.68,62.88,F
S2425,Mathematics,99.74,66.09,84.4,81.54,64.04,A
S2426,CS,65.12,43.58,70.82,59.66,53.88,D
S2427,CS,,68.33,44.31,93.62,76.93,F
S2428,CS,78.39,71.01,66.41,85.11,68.3,A
S2429,Engineering,91.76,91.28,82.53,65.03,66.99,B
S2430,CS,59.63,83.94,43.49,62.42,72.88,C
S2431,CS,85.47,44.76,43.59,87.71,92.48,A
S2432,Business,53.07,52.55,62.24,86.68,55.26,D
S2433,CS,95.95,58.71,51.7,57.44,76.18,A
S2434,Engineering,54.05,46.98,96.09,67.46,59.82,D
S2435,Business,95.71,67.41,74.88,60.83,60.62,A
S2436,CS,74.54,99.06,57.24,64.71,62.84,D
S2437,Engineering,72.4,70.88,82.29,64.38,72.97,F
S2438,Engineering,98.67,84.51,62.5,98.8,74.72,A
S2439,Engineering,99.52,80.98,47.93,87.51,93.58,A
S2440,Engineering,82.51,90.99,54.23,89.0,94.61,A
S2441,CS,56.36,52.94,78.56,63.87,79.33,F
S2442,Business,75.31,85.23,43.11,50.03,64.07,B
S2443,Business,76.46,92.88,56.36,52.91,90.92,C
S2444,CS,75.72,50.29,52.5,77.65,89.64,F
S2445,CS,78.47,60.81,52.07,64.27,89.9,B
S2446,CS,50.94,98.21,80.97,59.65,50.82,D
S2447,CS,85.56,86.85,89.55,52.48,87.69,A
S2448,Engineering,85.62,56.96,82.95,93.79,92.64,B
S2449,CS,55.77,73.84,78.74,80.01,80.25,C
S2450,CS,78.51,64.26,94.99,55.37,87.56,C
S2451,Business,78.42,69.4,43.5,88.32,88.81,A
S2452,CS,84.12,61.31,50.05,87.79,75.33,F
S2453,Business,54.27,56.76,64.86,64.47,90.68,D
S2454,Business,81.33,80.49,62.35,59.42,89.61,C
S2455,CS,64.04,86.71,65.08,90.7,95.81,D
S2456,Business,75.35,92.44,52.39,66.48,96.07,D
S2457,Business,88.67,49.32,48.97,92.37,76.49,B
S2458,CS,85.28,89.37,70.55,52.18,51.57,A
S2459,CS,55.95,55.29,95.68,74.96,50.96,D
S2460,Engineering,79.56,65.64,63.52,58.98,96.95,C
S2461,Mathematics,98.46,94.09,42.6,83.6,66.87,A
S2462,Engineering,57.84,67.27,82.37,99.86,68.88,F
S2463,CS,92.65,51.82,57.47,70.63,73.5,B
S2464,Engineering,85.13,49.59,54.71,55.02,63.29,A
S2465,Engineering,88.7,68.38,59.46,65.88,79.52,A
S2466,Engineering,64.1,85.76,83.43,94.58,89.23,D
S2467,Business,64.39,99.83,89.13,88.29,62.87,A
S2468,Engineering,95.3,87.24,75.28,61.61,87.15,A
S2469,Business,,92.62,59.35,97.68,83.6,F
S2470,Business,53.15,84.87,58.63,81.11,76.28,D
S2471,Engineering,80.03,93.73,47.46,58.4,66.27,F
S2472,CS,56.24,44.58,96.0,78.62,93.64,D
S2473,Business,89.83,95.8,78.29,72.56,70.14,A
S2474,Mathematics,82.09,63.78,41.62,90.98,68.73,C
S2475,CS,93.74,95.3,79.74,67.21,82.07,A
S2476,Engineering,89.24,44.54,66.83,93.75,96.02,B
S2477,CS,55.61,82.91,98.35,90.6,75.4,C
S2478,Business,,84.14,89.14,83.73,86.13,F
S2479,Business,,99.81,50.28,62.93,72.84,D
S2480,CS,70.87,86.13,83.21,98.52,60.94,B
S2481,Business,98.62,62.95,69.13,77.43,56.2,A
S2482,CS,86.79,73.43,51.22,95.38,56.82,B
S2483,Business,50.77,61.99,81.92,60.79,51.07,D
S2484,Engineering,94.0,51.76,72.84,99.17,77.65,B
S2485,CS,55.04,54.91,41.82,90.8,56.56,D
S2486,CS,57.03,53.32,78.8,97.46,93.28,F
S2487,CS,86.72,72.93,78.1,60.62,99.14,A
S2488,Engineering,93.25,94.37,48.65,71.53,74.79,A
S2489,Engineering,76.82,94.76,60.94,54.88,72.48,D
S2490,CS,,43.29,75.15,56.85,67.4,A
S2491,CS,67.57,44.79,48.33,64.2,81.9,C
S2492,CS,67.14,54.71,91.16,97.58,80.4,F
S2493,Business,66.33,55.3,41.65,83.36,67.17,A
S2494,Business,,45.69,46.17,65.73,67.16,A
S2495,CS,80.44,63.31,46.97,97.73,82.24,B
S2496,Engineering,95.02,75.26,71.69,86.99,77.73,A
S2497,CS,65.35,74.69,77.21,95.35,85.93,F
S2498,Mathematics,59.33,72.61,64.22,96.36,97.07,D
S2499,Mathematics,91.93,60.32,57.32,87.54,88.98,B
S2500,Engineering,87.09,82.39,88.56,62.16,65.22,A
S2501,Mathematics,96.54,89.59,44.1,99.83,87.96,B
S2502,Business,58.28,60.78,56.82,66.25,72.5,C
S2503,Business,57.21,45.13,42.35,83.59,88.88,D
S2504,Engineering,,57.78,40.83,92.24,94.33,F
S2505,CS,80.72,48.24,61.2,58.76,62.5,F
S2506,CS,74.01,68.04,51.69,80.45,61.93,B
S2507,CS,79.95,49.36,56.1,68.76,71.63,A
S2508,Engineering,59.02,67.77,89.26,62.21,52.58,C
S2509,CS,73.98,53.26,49.78,50.59,84.28,F
S2510,CS,82.9,84.32,86.81,93.6,87.49,F
S2511,Engineering,71.64,41.65,80.5,56.79,67.27,A
S2512,CS,,73.28,59.59,93.91,73.26,B
S2513,Engineering,72.56,50.17,72.79,80.03,79.52,F
S2514,Mathematics,,40.06,66.67,81.05,53.68,D
S2515,Business,65.18,92.15,47.7,91.43,85.56,B
S2516,Engineering,,80.29,94.43,75.47,76.34,A
S2517,Engineering,,45.94,74.18,67.86,81.21,C
S2518,Engineering,83.43,79.84,92.81,56.94,86.19,F
S2519,CS,92.26,76.7,89.43,78.52,83.78,A
S2520,Business,67.73,68.4,44.79,77.66,54.77,C
S2521,CS,52.3,65.16,52.44,64.69,89.13,C
S2522,CS,99.34,93.22,48.72,80.0,80.5,A
S2523,Business,63.18,54.71,89.85,71.97,85.74,F
S2524,CS,56.33,63.9,91.75,90.28,63.08,D
S2525,CS,68.49,59.75,71.68,77.97,61.07,D
S2526,CS,86.93,86.27,46.25,96.68,91.3,A
S2527,CS,64.7,94.99,48.14,75.9,69.52,F
S2528,CS,78.74,90.99,88.81,94.37,78.77,F
S2529,CS,,87.86,95.75,76.03,77.58,A
S2530,Engineering,55.89,99.21,51.97,77.9,79.26,C
S2531,Business,66.51,81.83,40.67,68.34,53.48,A
S2532,CS,,85.06,59.86,70.01,65.12,C
S2533,Business,,98.97,41.83,96.66,53.32,D
S2534,CS,55.99,40.42,89.68,61.16,74.01,F
S2535,CS,58.17,78.04,69.49,56.07,95.1,D
S2536,CS,82.04,84.34,78.51,91.51,69.46,B
S2537,Engineering,90.67,95.07,64.69,78.85,89.12,B
S2538,Engineering,,93.03,60.73,64.23,64.36,A
S2539,Engineering,79.77,90.52,53.33,71.62,92.81,A
S2540,Business,58.53,96.75,86.23,76.25,70.98,F
S2541,Engineering,65.57,72.24,81.73,79.61,67.76,F
S2542,Engineering,51.01,40.42,61.64,91.05,84.87,F
S2543,Mathematics,88.41,40.66,59.27,69.72,75.64,A
S2544,CS,70.05,72.68,40.07,83.83,66.87,B
S2545,CS,90.81,66.12,43.81,91.74,52.9,A
S2546,Business,85.42,67.07,77.4,92.19,58.33,A
S2547,Engineering,91.44,64.02,70.88,62.71,88.62,A
S2548,CS,64.28,95.06,66.09,67.51,96.04,C
S2549,CS,59.26,61.55,89.65,79.75,58.44,D
S2550,Engineering,98.6,91.37,70.23,94.29,78.47,B
S2551,Engineering,85.87,94.17,63.07,89.52,51.71,A
S2552,CS,,69.97,49.68,79.2,64.54,B
S2553,Mathematics,50.66,66.82,89.24,99.19,72.44,F
S2554,Business,67.72,85.66,74.57,71.95,86.79,A
S2555,Engineering,87.14,82.48,45.55,92.12,52.21,A
S2556,Engineering,53.9,59.71,78.93,90.92,89.06,C
S2557,Business,78.37,46.15,65.5,95.4,60.13,A
S2558,CS,71.45,55.89,88.68,99.38,87.98,B
S2559,CS,50.88,47.86,95.13,74.78,81.27,C
S2560,Engineering,61.8,57.68,76.03,59.78,66.98,D
S2561,Business,64.24,55.71,83.9,73.04,86.19,F
S2562,CS,55.59,78.26,43.4,92.69,61.82,D
S2563,Mathematics,81.58,97.27,73.62,91.81,60.99,D
S2564,Engineering,62.12,81.14,85.32,66.8,53.09,B
S2565,CS,63.88,95.6,69.81,52.37,69.65,D
S2566,CS,,87.05,75.61,75.49,54.89,A
S2567,CS,73.36,83.67,93.94,73.71,70.98,D
S2568,Business,69.61,64.84,51.89,54.29,50.49,C
S2569,Mathematics,86.19,59.49,45.89,89.74,57.75,B
S2570,Engineering,95.48,90.78,81.44,64.18,96.62,A
S2571,Mathematics,51.25,94.32,89.37,82.29,89.78,D
S2572,Business,72.41,67.11,91.03,55.07,61.81,D
S2573,Engineering,80.54,40.54,78.5,93.04,85.91,A
S2574,Engineering,65.93,87.55,89.99,86.96,83.42,D
S2575,Engineering,88.62,57.1,82.04,69.42,58.85,A
S2576,Engineering,98.57,40.59,45.24,81.47,68.55,A
S2577,CS,97.17,88.3,85.72,59.37,95.69,B
S2578,Engineering,63.3,71.04,50.76,99.27,86.94,C
S2579,CS,61.32,81.11,54.2,89.81,88.02,F
S2580,Business,97.87,94.88,63.68,89.45,78.19,A
S2581,Business,72.93,72.47,58.87,57.67,83.28,D
S2582,CS,,70.19,59.3,50.89,75.44,C
S2583,CS,85.35,57.44,50.16,79.27,87.04,A
S2584,Engineering,,58.31,57.63,57.21,86.64,B
S2585,Engineering,63.36,87.79,41.18,89.02,51.55,C
S2586,CS,93.96,66.94,68.37,70.8,81.59,A
S2587,Engineering,58.12,49.81,86.12,66.93,81.49,D
S2588,CS,,45.67,91.73,53.68,53.37,A
S2589,CS,63.46,68.38,89.23,99.8,70.52,F
S2590,CS,80.35,67.9,64.99,97.8,94.94,C
S2591,CS,56.15,79.21,83.83,56.58,97.67,D
S2592,Business,73.58,68.26,57.27,66.64,89.11,F
S2593,Mathematics,81.37,48.61,43.33,69.54,57.57,F
S2594,Engineering,92.44,70.47,80.56,64.84,68.74,A
S2595,Engineering,61.49,94.41,78.93,96.72,59.13,F
S2596,CS,90.87,49.57,88.1,86.07,82.61,B
S2597,Engineering,61.75,81.39,76.97,97.8,88.66,B
S2598,CS,83.84,75.63,49.41,93.73,94.19,C
S2599,Engineering,71.53,84.92,91.19,87.73,93.03,A
S2600,Mathematics,55.73,49.04,77.64,84.85,54.96,C
S2601,CS,85.71,96.5,88.46,93.31,56.28,B
S2602,Business,,77.26,86.45,84.21,95.48,A
S2603,CS,58.83,90.82,57.87,59.44,92.19,D
S2604,CS,67.92,54.8,44.47,82.41,73.02,D
S2605,CS,82.66,84.36,50.59,75.75,71.5,B
S2606,CS,61.7,86.86,45.57,99.09,77.64,A
S2607,CS,59.18,63.85,54.6,75.5,79.83,F
S2608,CS,,63.04,67.57,51.92,62.71,A
S2609,Engineering,73.58,79.47,94.41,63.21,70.19,A
S2610,CS,71.43,45.6,92.32,95.87,80.98,B
S2611,Engineering,61.69,84.14,83.12,98.12,60.31,D
S2612,Mathematics,52.68,42.57,41.45,86.42,99.94,D
S2613,Engineering,71.46,51.44,60.48,52.84,64.15,C
S2614,CS,89.41,79.85,80.94,51.18,77.62,A
S2615,CS,85.76,45.9,47.74,73.98,77.71,A
S2616,Business,93.04,98.31,88.07,99.98,72.57,B
S2617,Engineering,50.48,92.1,94.87,93.46,62.08,C
S2618,Engineering,98.32,77.58,61.25,96.66,78.27,A
S2619,CS,67.07,89.14,82.35,81.18,54.55,C
S2620,Engineering,99.52,93.25,48.89,92.96,69.35,A
S2621,CS,62.63,55.57,81.45,65.98,61.21,A
S2622,Mathematics,,90.96,41.29,51.37,56.21,F
S2623,Business,67.7,51.69,49.05,95.91,96.27,D
S2624,CS,67.79,64.8,82.59,60.92,85.0,B
S2625,Engineering,92.11,73.5,82.71,86.42,58.44,A
S2626,CS,,82.83,78.47,82.95,97.47,B
S2627,Engineering,99.61,41.81,68.64,57.91,60.8,A
S2628,Business,80.68,57.43,80.49,59.79,61.78,B
S2629,Engineering,73.16,76.51,86.43,66.45,56.66,C
S2630,CS,,61.44,97.99,87.85,86.39,B
S2631,CS,99.83,86.5,93.32,51.96,78.54,A
S2632,Business,77.58,79.1,87.67,70.35,52.91,F
S2633,Engineering,85.02,54.06,81.69,83.26,51.26,A
S2634,Engineering,70.34,48.76,74.45,58.57,76.63,F
S2635,CS,77.39,77.74,47.24,55.97,82.58,B
S2636,CS,97.13,67.03,49.93,69.51,91.14,B
S2637,Mathematics,58.32,50.14,89.22,64.33,73.91,D
S2638,Engineering,64.62,59.58,88.2,82.45,83.83,A
S2639,Engineering,57.6,58.18,76.87,98.48,86.68,C
S2640,Engineering,89.61,46.49,66.33,50.22,80.65,A
S2641,Business,53.1,72.81,41.56,95.12,67.61,F
S2642,CS,54.08,85.82,59.63,71.66,56.59,D
S2643,CS,64.92,74.53,65.24,83.2,82.38,D
S2644,Engineering,75.71,89.58,69.15,92.55,88.43,B
S2645,Engineering,,47.65,95.76,78.67,59.49,D
S2646,Business,,66.14,46.52,54.87,74.74,A
S2647,Business,97.87,76.56,71.13,57.03,69.86,A
S2648,CS,97.64,80.56,62.08,89.46,60.29,A
S2649,CS,63.97,81.75,99.41,61.45,62.27,A
S2650,Mathematics,86.58,83.74,91.71,78.45,61.88,A
S2651,Engineering,78.93,79.09,66.33,71.4,70.95,B
S2652,Engineering,61.87,45.65,99.98,65.18,69.52,D
S2653,Engineering,63.11,81.72,70.84,89.35,77.71,B
S2654,Engineering,74.56,83.49,50.03,86.56,54.66,B
S2655,CS,70.96,99.61,73.35,82.31,79.06,D
S2656,Business,64.56,81.6,53.57,68.63,51.09,B
S2657,Business,90.38,81.21,78.18,61.32,62.87,A
S2658,Engineering,74.07,70.89,96.25,75.79,75.11,A
S2659,Engineering,82.74,92.08,87.17,90.86,84.35,C
S2660,CS,59.46,99.81,56.39,78.78,88.56,D
S2661,CS,76.68,86.74,57.81,98.51,51.78,F
S2662,CS,65.9,76.75,44.16,50.77,76.87,F
S2663,CS,76.32,44.74,57.15,99.92,67.72,D
S2664,Mathematics,,83.6,45.56,84.57,84.75,D
S2665,Business,88.45,82.51,69.97,91.63,64.19,B
S2666,Engineering,67.71,86.53,82.5,66.75,87.19,A
S2667,Engineering,84.71,47.47,85.07,75.42,80.11,C
S2668,CS,97.06,79.22,43.57,89.85,89.48,B
S2669,Mathematics,,57.74,60.4,88.03,99.22,F
S2670,CS,57.42,85.62,57.29,66.7,95.43,D
S2671,CS,83.99,54.42,46.26,66.22,79.66,A
S2672,Engineering,55.25,81.04,61.75,83.14,94.69,F
S2673,Business,93.61,57.7,57.96,96.68,57.65,A
S2674,Business,75.83,40.54,78.07,71.94,52.15,A
S2675,CS,69.26,78.0,93.0,67.65,76.66,F
S2676,Business,52.85,46.8,67.29,94.73,98.72,F
S2677,CS,69.04,79.56,84.8,84.15,85.49,F
S2678,CS,,95.54,48.76,69.41,65.26,A
S2679,Business,51.05,98.15,93.7,52.86,83.44,C
S2680,Business,73.73,54.16,49.16,86.07,52.0,F
S2681,Engineering,96.56,88.56,51.53,67.64,73.53,A
S2682,Engineering,69.74,61.21,46.39,53.53,61.86,A
S2683,Business,71.41,94.03,58.58,80.61,52.46,C
S2684,Business,78.93,87.25,73.14,66.15,62.5,F
S2685,Business,73.15,44.44,99.28,66.92,86.12,C
S2686,Engineering,58.43,64.43,87.6,73.96,77.56,F
S2687,Mathematics,50.93,60.24,62.83,85.87,51.17,C
S2688,Mathematics,80.49,87.11,74.55,63.82,70.49,F
S2689,CS,96.04,64.62,77.4,54.05,87.61,A
S2690,Business,55.32,81.08,89.36,71.22,97.73,C
S2691,Engineering,60.55,76.15,84.19,52.75,93.72,B
S2692,CS,68.51,98.54,74.16,84.86,50.08,B
S2693,Engineering,90.44,96.27,80.15,97.96,60.94,A
S2694,CS,63.46,65.66,84.76,82.94,60.39,C
S2695,Engineering,94.1,83.41,47.99,63.77,70.65,A
S2696,Business,52.75,89.77,52.03,59.09,82.29,F
S2697,CS,97.05,93.93,81.32,61.64,57.65,B
S2698,Engineering,78.04,44.09,91.03,61.08,95.78,F
S2699,Mathematics,82.94,58.12,64.56,65.69,88.86,F
S2700,Engineering,68.38,59.21,98.79,54.87,70.97,A
S2701,CS,,66.07,52.96,94.79,79.2,D
S2702,Engineering,58.33,50.16,65.0,94.26,77.09,C
S2703,Engineering,52.45,69.77,62.71,80.76,79.11,D
S2704,Engineering,69.78,79.79,95.82,53.1,93.01,A
S2705,Business,92.68,69.84,57.12,90.2,60.01,B
S2706,Engineering,87.75,79.95,68.25,53.09,84.19,A
S2707,Business,75.86,43.99,51.23,55.32,55.35,F
S2708,Engineering,78.61,92.56,71.28,66.26,72.96,F
S2709,CS,56.49,96.34,91.44,71.57,81.79,D
S2710,Engineering,92.03,77.07,58.24,67.69,50.63,A
S2711,Business,89.35,92.88,88.65,58.26,55.4,A
S2712,Engineering,82.82,47.89,94.68,55.61,54.56,C
S2713,CS,73.31,87.85,44.38,92.97,68.73,F
S2714,CS,98.22,47.15,85.39,68.16,81.1,B
S2715,CS,93.95,64.48,55.32,60.93,99.8,B
S2716,CS,,59.43,50.52,74.35,62.7,D
S2717,Engineering,68.59,75.14,76.07,51.84,56.8,A
S2718,CS,80.9,58.09,82.34,80.01,70.74,C
S2719,Business,78.77,78.24,63.69,62.42,57.3,B
S2720,CS,,62.04,42.35,79.91,51.23,B
S2721,CS,65.33,91.65,94.52,80.71,78.2,D
S2722,Engineering,70.35,78.03,83.84,90.46,93.98,C
S2723,CS,78.7,52.92,56.3,61.5,93.04,A
S2724,Business,71.41,60.17,69.81,73.17,55.04,B
S2725,CS,63.18,90.85,41.67,98.09,57.37,F
S2726,Engineering,88.05,63.19,60.36,86.36,74.56,B
S2727,Business,76.57,72.15,71.35,98.77,68.39,C
S2728,Engineering,53.38,78.94,71.03,96.37,85.15,D
S2729,CS,68.42,60.87,52.49,80.54,74.75,A
S2730,Engineering,94.25,57.64,86.6,63.2,51.01,B
S2731,Business,87.76,68.52,57.93,87.85,64.23,A
S2732,Mathematics,66.16,52.89,74.82,84.91,95.07,A
S2733,Business,96.91,57.05,56.29,79.44,75.58,A
S2734,CS,53.83,43.72,65.51,84.89,89.9,F
S2735,Mathematics,98.06,58.24,52.45,80.68,70.11,A
S2736,CS,62.29,59.24,77.98,75.97,83.85,D
S2737,CS,50.45,97.71,65.54,70.8,58.45,D
S2738,Business,71.69,75.38,40.97,52.24,86.83,B
S2739,CS,67.95,87.24,41.69,93.28,89.33,C
S2740,CS,76.95,42.72,68.27,93.28,54.51,C
S2741,CS,89.84,46.39,50.99,79.7,59.17,A
S2742,Engineering,,88.87,75.1,63.39,73.14,D
S2743,Business,70.06,77.41,64.49,51.41,81.87,A
S2744,Engineering,71.49,51.46,79.27,50.07,81.87,B
S2745,CS,57.41,64.29,97.14,53.65,83.41,F
S2746,Engineering,52.38,72.32,71.72,67.99,85.72,C
S2747,Mathematics,82.06,90.62,87.24,59.42,75.29,A
S2748,Business,53.22,43.62,85.18,63.25,78.74,D
S2749,CS,86.69,75.8,95.31,84.98,50.42,A
S2750,Mathematics,,83.02,52.84,97.96,58.33,F
S2751,Business,59.93,98.67,89.64,60.34,74.93,F
S2752,CS,76.98,88.43,94.33,73.28,87.28,B
S2753,CS,,56.57,63.57,99.57,90.45,F
S2754,CS,71.94,82.57,58.83,96.58,86.45,F
S2755,Business,,85.8,97.12,67.62,74.32,C
