ID_Aluno,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Stress_Level (1-10),Sleep_Hours_per_Night
S1680,9.3,No,Yes,8,8.1
S1681,16.9,No,Yes,2,4.2
S1682,26.1,No,Yes,7,5.1
S1683,17.5,Yes,Yes,3,4.4
S1684,23.1,Yes,Yes,6,6.2
S1685,11.3,No,Yes,2,7.6
S1686,11.6,No,Yes,8,4.2
S1687,19.8,No,Yes,4,5.3
S1688,26.3,No,Yes,6,4.5
S1689,18.3,No,Yes,3,6.1
S1690,10.0,Yes,Yes,1,8.6
S1691,10.4,Yes,Yes,2,6.1
S1692,20.4,Yes,No,10,7.2
S1693,7.6,Yes,Yes,8,5.9
S1694,6.6,No,Yes,6,7.7
S1695,7.6,No,Yes,4,7.7
S1696,14.8,No,Yes,9,4.7
S1697,13.9,No,Yes,7,7.3
S1698,5.1,No,No,1,5.9
S1699,9.0,No,Yes,6,8.3
S1700,13.7,No,Yes,4,4.8
S1701,15.7,No,Yes,6,8.5
S1702,15.1,Yes,Yes,8,6.6
S1703,13.0,Yes,Yes,9,5.3
S1704,25.3,No,Yes,3,5.7
S1705,15.4,No,Yes,2,4.0
S1706,21.1,No,Yes,10,8.7
S1707,25.8,No,Yes,7,5.1
S1708,26.3,No,Yes,7,8.5
S1709,26.4,No,Yes,3,8.3
S1710,17.4,No,Yes,5,5.7
S1711,21.5,Yes,Yes,10,5.1
S1712,12.9,No,Yes,8,6.1
S1713,26.5,No,Yes,3,8.7
S1714,10.3,No,Yes,8,8.3
S1715,24.7,No,Yes,3,6.4
S1716,16.7,No,No,4,6.7
S1717,12.5,Yes,Yes,3,6.0
S1718,14.5,No,No,5,8.7
S1719,19.7,No,Yes,8,8.9
S1720,28.2,Yes,Yes,5,5.4
S1721,7.4,No,Yes,7,8.7
S1722,28.0,Yes,Yes,4,8.8
S1723,25.4,Yes,Yes,10,6.4
S1724,19.7,Yes,Yes,2,6.1
S1725,8.3,No,Yes,6,8.3
S1726,25.3,No,No,5,8.7
S1727,22.3,No,No,8,6.0
S1728,17.4,No,Yes,8,6.5
S1729,27.1,No,Yes,1,5.7
S1730,21.6,No,No,8,5.0
S1731,12.2,No,No,3,9.0
S1732,6.1,No,Yes,2,4.9
S1733,24.0,Yes,Yes,10,8.1
S1734,11.4,No,Yes,4,6.1
S1735,12.0,No,Yes,10,4.4
S1736,16.2,No,Yes,8,5.6
S1737,23.7,No,Yes,5,4.4
S1738,28.1,No,Yes,7,8.9
S1739,10.4,Yes,Yes,8,5.3
S1740,27.1,Yes,Yes,3,7.7
S1741,20.1,Yes,Yes,7,6.1
S1742,26.4,Yes,Yes,7,7.4
S1743,26.2,Yes,Yes,9,5.3
S1744,14.8,No,Yes,3,4.5
S1745,22.0,Yes,Yes,6,8.0
S1746,28.7,Yes,Yes,7,7.6
S1747,21.8,No,Yes,9,4.5
S1748,16.5,No,Yes,4,7.7
S1749,14.3,No,Yes,4,7.0
S1750,8.6,Yes,Yes,5,4.9
S1751,30.0,No,Yes,10,8.1
S1752,21.4,No,No,5,7.5
S1753,11.9,No,Yes,1,6.5
S1754,6.9,Yes,Yes,8,4.9
S1755,23.8,No,Yes,8,6.7
S1756,26.4,No,Yes,9,4.8
S1757,15.7,No,No,3,4.9
S1758,28.9,No,No,6,5.2
S1759,13.2,No,Yes,10,7.3
S1760,23.9,No,Yes,9,7.4
S1761,11.6,Yes,Yes,4,4.4
S1762,13.4,No,Yes,9,7.3
S1763,20.1,Yes,Yes,6,4.2
S1764,5.9,No,Yes,4,8.5
S1765,10.3,Yes,Yes,6,7.9
S1766,9.4,Yes,Yes,6,7.6
S1767,13.2,No,Yes,4,5.2
S1768,24.4,No,Yes,10,8.9
S1769,27.7,No,Yes,5,8.6
S1770,5.3,Yes,Yes,1,6.4
S1771,11.4,Yes,Yes,9,4.2
S1772,5.6,Yes,Yes,7,6.6
S1773,26.5,No,Yes,5,4.8
S1774,10.0,No,Yes,5,7.0
S1775,24.3,No,Yes,6,8.9
S1776,5.8,Yes,Yes,8,7.8
S1777,15.0,No,No,3,5.6
S1778,14.0,No,Yes,8,6.0
S1779,13.2,No,Yes,3,8.7
S1780,19.3,No,Yes,10,4.6
S1781,14.8,No,Yes,5,8.5
S1782,15.1,No,Yes,5,4.4
S1783,9.7,No,Yes,2,6.1
S1784,15.4,No,Yes,1,7.7
S1785,23.5,No,Yes,3,6.0
S1786,13.1,No,Yes,10,6.9
S1787,26.4,No,Yes,4,6.5
S1788,9.2,No,Yes,7,7.0
S1789,26.2,No,Yes,7,4.9
S1790,20.4,No,Yes,9,6.9
S1791,15.6,No,Yes,4,8.9
S1792,5.9,No,Yes,3,5.0
S1793,8.2,No,Yes,3,4.3
S1794,15.4,No,Yes,10,6.0
S1795,26.9,Yes,Yes,10,5.9
S1796,28.9,No,Yes,1,4.6
S1797,28.2,Yes,Yes,6,6.9
S1798,11.9,Yes,Yes,4,6.2
S1799,11.4,No,Yes,5,8.2
S1800,23.5,Yes,Yes,2,6.1
S1801,28.5,Yes,Yes,8,8.9
S1802,8.3,No,Yes,10,7.9
S1803,14.4,No,Yes,3,6.4
S1804,25.9,No,Yes,7,6.8
S1805,17.3,No,Yes,9,8.3
S1806,26.1,No,No,9,7.9
S1807,7.9,No,Yes,8,7.3
S1808,24.4,Yes,Yes,3,5.3
S1809,14.7,No,Yes,5,6.1
S1810,22.3,No,Yes,10,7.9
S1811,12.3,Yes,Yes,1,7.1
S1812,22.3,No,Yes,7,8.8
S1813,22.6,Yes,Yes,4,8.4
S1814,15.5,No,Yes,9,6.1
S1815,29.2,No,Yes,10,5.5
S1816,5.0,Yes,Yes,8,4.6
S1817,21.9,No,Yes,10,6.0
S1818,27.7,Yes,Yes,7,5.1
S1819,26.4,No,Yes,10,4.1
S1820,19.1,No,Yes,4,4.7
S1821,27.4,Yes,Yes,2,6.3
S1822,7.7,No,Yes,3,8.5
S1823,18.6,No,Yes,8,5.6
S1824,29.5,Yes,Yes,6,6.2
S1825,29.8,No,Yes,3,5.9
S1826,22.0,No,Yes,10,5.8
S1827,9.2,No,Yes,2,7.6
S1828,7.8,No,Yes,8,6.5
S1829,28.1,Yes,No,9,6.0
S1830,27.0,No,Yes,7,8.7
S1831,12.9,No,No,5,5.4
S1832,28.3,No,Yes,8,8.2
S1833,8.3,No,Yes,3,6.6
S1834,12.4,No,Yes,4,6.2
S1835,21.1,No,Yes,3,4.3
S1836,9.3,No,Yes,3,8.3
S1837,29.7,No,Yes,8,5.4
S1838,10.6,No,Yes,3,7.4
S1839,11.1,No,Yes,6,8.4
S1840,16.9,No,Yes,7,6.7
S1841,24.5,No,No,1,7.2
S1842,8.0,Yes,Yes,8,5.7
S1843,21.7,No,Yes,8,7.6
S1844,7.5,Yes,Yes,4,7.3
S1845,7.4,No,No,8,6.2
S1846,6.0,No,Yes,6,7.2
S1847,18.6,Yes,Yes,7,5.3
S1848,15.9,No,Yes,3,7.3
S1849,12.7,Yes,Yes,3,7.4
S1850,18.2,No,Yes,10,6.2
S1851,17.5,Yes,Yes,10,5.2
S1852,16.8,Yes,No,9,8.0
S1853,9.3,No,Yes,10,7.8
S1854,27.4,Yes,No,10,4.3
S1855,20.5,No,Yes,9,6.5
S1856,8.2,No,Yes,3,4.5
S1857,11.4,No,Yes,9,5.6
S1858,24.1,Yes,Yes,3,6.1
S1859,24.4,Yes,Yes,4,4.9
S1860,23.1,Yes,Yes,3,6.3
S1861,24.8,No,Yes,5,7.5
S1862,20.0,Yes,Yes,4,6.2
S1863,12.2,No,Yes,9,5.2
S1864,13.9,No,Yes,2,6.1
S1865,17.7,Yes,Yes,10,7.0
S1866,11.2,Yes,Yes,8,8.7
S1867,26.3,No,Yes,3,6.5
S1868,23.7,No,Yes,9,8.4
S1869,29.5,No,Yes,2,8.9
S1870,15.4,Yes,Yes,7,6.8
S1871,26.8,No,Yes,6,4.7
S1872,24.5,No,Yes,8,8.4
S1873,25.8,Yes,Yes,3,8.3
S1874,22.2,No,Yes,6,8.3
S1875,13.7,No,Yes,2,8.8
S1876,11.1,No,Yes,10,5.4
S1877,11.8,No,No,10,5.7
S1878,19.2,Yes,Yes,7,7.4
S1879,27.0,No,Yes,3,6.8
S1880,16.2,No,Yes,5,8.3
S1881,20.0,Yes,Yes,3,5.3
S1882,23.3,No,Yes,10,7.3
S1883,26.4,Yes,Yes,1,8.7
S1884,21.2,No,No,1,5.1
S1885,20.7,Yes,Yes,10,5.5
S1886,29.7,No,Yes,4,6.0
S1887,26.6,No,Yes,5,4.4
S1888,23.3,No,Yes,1,4.9
S1889,25.8,Yes,Yes,10,5.9
S1890,30.0,No,No,3,4.4
S1891,17.6,No,Yes,3,5.8
S1892,22.6,Yes,Yes,2,5.2
S1893,25.3,No,Yes,6,8.3
S1894,16.1,Yes,Yes,2,7.0
S1895,28.9,No,No,4,8.5
S1896,14.6,Yes,Yes,5,5.0
S1897,11.1,No,Yes,3,4.4
S1898,21.9,No,Yes,1,5.8
S1899,7.0,No,Yes,1,4.3
S1900,8.2,No,Yes,1,8.4
S1901,29.3,Yes,Yes,6,4.9
S1902,12.0,No,Yes,4,4.7
S1903,5.8,Yes,Yes,6,7.9
S1904,16.9,No,Yes,1,7.6
S1905,26.7,No,Yes,5,4.3
S1906,13.3,Yes,Yes,1,6.5
S1907,15.5,No,Yes,4,6.2
S1908,8.9,No,Yes,9,5.9
S1909,13.7,No,Yes,6,4.6
S1910,29.1,Yes,Yes,4,7.9
S1911,26.9,Yes,Yes,10,5.2
S1912,23.5,No,Yes,7,6.3
S1913,24.7,No,Yes,10,8.4
S1914,21.7,No,Yes,10,5.6
S1915,7.9,No,Yes,1,4.2
S1916,7.9,No,Yes,1,8.4
S1917,18.4,Yes,Yes,5,6.5
S1918,19.9,Yes,Yes,7,6.5
S1919,29.3,No,Yes,9,6.8
S1920,16.3,Yes,Yes,9,4.9
S1921,27.9,Yes,Yes,10,7.6
S1922,29.8,No,Yes,8,5.2
S1923,26.1,Yes,No,2,5.5
S1924,15.0,No,Yes,1,7.2
S1925,23.8,No,Yes,3,7.7
S1926,18.6,No,Yes,1,7.7
S1927,10.0,No,No,1,4.4
S1928,8.2,No,Yes,8,7.8
S1929,6.8,Yes,Yes,3,7.3
S1930,13.2,No,Yes,2,7.0
S1931,22.2,No,Yes,6,8.8
S1932,27.8,No,Yes,1,5.7
S1933,13.0,No,Yes,2,7.4
S1934,18.3,Yes,Yes,4,6.9
S1935,16.7,No,Yes,7,5.9
S1936,7.7,No,Yes,2,7.9
S1937,24.0,Yes,Yes,4,6.0
S1938,18.0,Yes,Yes,4,6.8
S1939,27.9,No,Yes,8,6.8
S1940,25.9,No,Yes,7,6.6
S1941,12.0,No,No,7,6.3
S1942,12.8,No,Yes,9,4.8
S1943,18.4,No,Yes,3,5.2
S1944,8.1,Yes,No,3,4.6
S1945,11.3,No,Yes,10,7.6
S1946,25.5,No,Yes,9,7.7
S1947,8.8,Yes,Yes,2,7.2
S1948,18.7,No,Yes,3,8.6
S1949,14.8,No,Yes,9,5.3
S1950,10.0,No,Yes,10,8.1
S1951,29.2,Yes,Yes,6,4.9
S1952,25.6,No,Yes,5,4.3
S1953,11.7,No,Yes,9,4.0
S1954,24.6,No,No,7,6.9
S1955,5.2,No,Yes,2,7.9
S1956,11.9,Yes,Yes,10,8.1
S1957,7.7,No,Yes,9,6.4
S1958,15.6,No,Yes,6,4.3
S1959,20.9,No,Yes,3,4.2
S1960,9.3,No,Yes,1,8.6
S1961,11.0,No,Yes,4,4.5
S1962,14.8,No,Yes,8,7.9
S1963,20.8,No,Yes,5,4.3
S1964,12.8,No,Yes,5,4.9
S1965,20.0,Yes,Yes,2,4.8
S1966,13.7,No,Yes,4,5.4
S1967,11.4,No,Yes,4,6.0
S1968,26.4,No,Yes,9,4.6
S1969,14.6,No,Yes,7,8.9
S1970,28.0,No,Yes,7,4.0
S1971,12.6,No,Yes,9,7.9
S1972,18.6,No,Yes,9,6.6
S1973,6.3,No,No,5,4.4
S1974,22.0,No,Yes,1,4.6
S1975,24.9,Yes,Yes,2,6.9
S1976,29.3,No,Yes,8,5.6
S1977,25.9,Yes,Yes,6,6.3
S1978,12.8,No,Yes,10,6.7
S1979,18.9,No,Yes,8,6.9
S1980,19.8,No,Yes,3,6.9
S1981,6.4,No,Yes,3,4.4
S1982,6.8,Yes,Yes,6,7.7
S1983,13.1,Yes,Yes,4,5.5
S1984,23.6,No,Yes,4,4.6
S1985,12.1,Yes,Yes,4,4.5
S1986,26.9,No,Yes,2,5.2
S1987,21.1,No,Yes,7,7.1
S1988,16.7,No,Yes,5,6.4
S1989,18.5,Yes,Yes,5,4.5
S1990,13.3,No,Yes,7,4.2
S1991,29.3,Yes,No,5,4.1
S1992,9.4,No,Yes,1,6.1
S1993,26.5,No,Yes,2,7.9
S1994,22.0,No,Yes,5,6.9
S1995,22.8,No,Yes,7,8.0
S1996,25.9,Yes,Yes,10,5.6
S1997,8.4,No,Yes,2,4.7
S1998,22.4,No,Yes,8,8.0
S1999,24.4,No,Yes,5,7.6
S2000,29.6,No,No,9,6.9
S2001,23.7,No,Yes,6,8.4
S2002,28.8,Yes,Yes,3,7.2
S2003,26.2,Yes,Yes,6,6.6
S2004,26.9,No,Yes,9,6.5
S2005,27.9,No,Yes,1,7.1
S2006,18.3,No,Yes,1,6.6
S2007,22.8,No,Yes,8,5.4
S2008,8.1,No,Yes,7,8.8
S2009,13.9,No,Yes,1,8.8
S2010,27.0,No,Yes,8,4.8
S2011,29.4,No,Yes,5,6.7
S2012,7.8,Yes,Yes,9,7.9
S2013,19.7,No,Yes,3,4.3
S2014,23.4,No,Yes,5,4.6
S2015,17.9,Yes,Yes,7,6.7
S2016,10.8,No,Yes,10,4.1
S2017,6.0,No,Yes,8,8.2
S2018,28.8,No,Yes,3,8.4
S2019,10.9,Yes,No,1,7.7
S2020,12.5,Yes,Yes,6,8.1
S2021,21.1,Yes,Yes,5,7.4
S2022,15.7,No,Yes,5,4.7
S2023,15.6,Yes,Yes,6,4.1
S2024,7.1,No,No,3,8.2
S2025,29.8,Yes,No,5,7.5
S2026,12.1,No,Yes,10,6.0
S2027,7.8,Yes,Yes,1,8.0
S2028,22.0,No,Yes,8,4.3
S2029,23.8,No,Yes,9,5.6
S2030,5.6,Yes,Yes,4,5.7
S2031,11.7,No,No,5,4.5
S2032,9.9,No,Yes,7,7.7
S2033,24.7,No,No,10,7.9
S2034,9.6,No,Yes,5,6.9
S2035,10.9,No,Yes,4,6.1
S2036,29.7,Yes,No,8,7.0
S2037,22.6,No,Yes,6,8.5
S2038,14.7,No,Yes,2,5.8
S2039,23.8,Yes,Yes,4,5.7
S2040,16.7,No,Yes,3,7.1
S2041,10.3,Yes,Yes,2,7.4
S2042,17.2,No,Yes,6,6.3
S2043,24.3,Yes,Yes,10,8.3
S2044,9.5,Yes,Yes,1,5.8
S2045,17.1,No,Yes,10,7.2
S2046,8.0,No,No,4,7.3
S2047,26.1,Yes,Yes,8,5.5
S2048,25.5,No,Yes,5,4.1
S2049,21.8,Yes,Yes,3,8.1
S2050,28.0,No,Yes,2,6.4
S2051,15.0,No,No,6,4.5
S2052,8.3,Yes,Yes,4,8.8
S2053,29.4,Yes,Yes,7,5.5
S2054,17.8,No,Yes,8,6.4
S2055,16.9,No,Yes,9,6.4
S2056,6.6,No,Yes,7,5.9
S2057,19.3,No,Yes,9,4.8
S2058,21.1,No,Yes,4,7.5
S2059,16.8,No,Yes,1,5.0
S2060,27.8,No,Yes,7,7.4
S2061,23.6,No,Yes,2,8.0
S2062,6.0,No,Yes,10,4.1
S2063,18.6,No,Yes,9,7.7
S2064,29.8,No,Yes,6,7.2
S2065,10.0,Yes,Yes,9,5.0
S2066,20.4,No,Yes,8,7.1
S2067,11.8,Yes,Yes,9,6.1
S2068,14.3,No,Yes,7,4.4
S2069,5.8,No,Yes,3,6.6
S2070,22.2,No,Yes,10,8.9
S2071,24.1,No,Yes,5,7.2
S2072,24.3,No,Yes,3,5.7
S2073,29.3,Yes,Yes,3,6.8
S2074,25.9,Yes,No,7,7.7
S2075,10.2,Yes,Yes,6,4.8
S2076,10.8,No,Yes,5,6.6
S2077,24.2,No,Yes,5,6.5
S2078,24.4,Yes,Yes,8,5.9
S2079,8.1,No,Yes,1,7.7
S2080,5.2,No,Yes,4,6.8
S2081,15.0,No,Yes,5,7.5
S2082,22.4,No,Yes,9,7.0
S2083,26.7,No,Yes,1,7.9
S2084,9.1,Yes,No,9,7.2
S2085,25.4,No,Yes,6,7.4
S2086,22.1,No,Yes,3,5.1
S2087,9.1,No,Yes,3,8.2
S2088,26.8,Yes,Yes,4,4.8
S2089,28.3,No,Yes,5,5.7
S2090,11.6,Yes,Yes,9,8.4
S2091,8.7,No,No,6,4.5
S2092,29.2,Yes,Yes,5,8.3
S2093,5.6,Yes,Yes,6,6.4
S2094,28.7,No,No,6,4.9
S2095,10.4,No,Yes,9,7.7
S2096,16.0,No,Yes,10,5.4
S2097,12.7,No,Yes,7,7.4
S2098,8.8,Yes,Yes,7,8.0
S2099,13.8,No,Yes,4,6.8
S2100,18.5,Yes,Yes,5,7.9
S2101,7.3,No,Yes,7,8.7
S2102,25.2,No,Yes,8,6.8
S2103,25.0,Yes,Yes,6,4.8
S2104,24.9,No,Yes,8,7.5
S2105,22.2,Yes,Yes,9,6.1
S2106,16.4,No,Yes,1,6.7
S2107,25.8,No,Yes,4,7.1
S2108,26.3,No,Yes,9,7.6
S2109,12.1,No,Yes,5,7.2
S2110,17.0,Yes,Yes,4,5.2
S2111,10.1,No,Yes,9,7.7
S2112,11.4,No,Yes,2,8.0
S2113,11.0,No,Yes,2,4.2
S2114,25.7,No,Yes,8,5.5
S2115,11.3,No,Yes,8,8.9
S2116,18.7,No,Yes,5,4.9
S2117,20.7,No,Yes,6,4.9
S2118,23.6,Yes,No,5,7.0
S2119,5.7,No,Yes,8,5.7
S2120,16.9,No,Yes,6,7.3
S2121,12.3,No,Yes,6,5.3
S2122,25.8,No,Yes,7,6.1
S2123,5.9,Yes,Yes,2,9.0
S2124,10.2,Yes,Yes,9,5.9
S2125,12.9,No,Yes,3,4.4
S2126,6.9,No,No,9,7.7
S2127,14.9,Yes,Yes,10,6.9
S2128,23.6,No,Yes,5,6.2
S2129,10.3,Yes,Yes,1,8.5
S2130,23.9,No,No,10,4.7
S2131,18.2,Yes,Yes,4,6.4
S2132,13.6,No,Yes,6,5.0
S2133,14.2,Yes,Yes,3,4.4
S2134,7.9,No,Yes,6,6.2
S2135,11.2,No,Yes,1,8.7
S2136,23.3,Yes,Yes,10,7.6
S2137,26.6,Yes,Yes,10,5.2
S2138,11.6,Yes,Yes,9,6.3
S2139,19.7,Yes,No,9,8.0
S2140,5.9,Yes,Yes,4,5.0
S2141,6.9,No,Yes,2,5.0
S2142,29.1,No,Yes,8,4.9
S2143,27.4,Yes,Yes,7,7.0
S2144,7.0,Yes,Yes,1,4.1
S2145,25.6,No,Yes,6,6.9
S2146,7.6,No,Yes,10,8.1
S2147,25.7,Yes,Yes,5,7.9
S2148,27.8,Yes,Yes,2,7.3
S2149,8.8,Yes,Yes,5,5.1
S2150,8.7,No,No,6,8.1
S2151,28.2,Yes,Yes,10,8.8
S2152,12.5,Yes,Yes,6,4.9
S2153,16.8,No,Yes,2,8.6
S2154,12.6,No,Yes,1,8.3
S2155,23.7,No,Yes,4,8.9
S2156,10.3,Yes,Yes,4,5.6
S2157,17.4,Yes,Yes,9,8.7
S2158,26.3,No,Yes,1,4.9
S2159,28.6,No,Yes,10,4.9
S2160,13.8,No,No,1,4.5
S2161,7.8,No,Yes,8,6.1
S2162,25.2,No,Yes,5,4.1
S2163,7.8,Yes,Yes,9,5.9
S2164,24.5,No,Yes,6,7.1
S2165,22.2,No,Yes,10,4.4
S2166,19.4,No,Yes,3,8.1
S2167,28.5,Yes,Yes,1,5.5
S2168,13.1,No,Yes,10,4.2
S2169,7.3,No,Yes,6,5.9
S2170,29.5,No,Yes,3,4.7
S2171,16.0,No,Yes,4,8.0
S2172,15.8,Yes,Yes,3,5.7
S2173,7.2,No,Yes,7,4.6
S2174,23.6,No,No,9,6.3
S2175,23.0,Yes,Yes,5,6.3
S2176,8.6,No,Yes,6,5.4
S2177,10.8,No,Yes,5,5.6
S2178,5.4,No,Yes,3,7.8
S2179,27.2,Yes,Yes,3,7.2
S2180,11.1,No,Yes,4,5.1
S2181,28.2,No,Yes,5,8.7
S2182,19.3,No,Yes,7,5.5
S2183,15.6,No,Yes,9,6.7
S2184,5.2,No,Yes,5,6.9
S2185,7.3,Yes,No,2,5.1
S2186,9.0,Yes,Yes,9,5.5
S2187,7.6,Yes,Yes,5,6.4
S2188,11.4,No,Yes,6,5.3
S2189,8.9,Yes,Yes,9,5.5
S2190,21.6,No,Yes,4,7.1
S2191,12.4,No,Yes,3,7.7
S2192,23.0,Yes,Yes,4,8.0
S2193,8.4,No,Yes,8,4.6
S2194,10.2,No,Yes,7,7.7
S2195,24.7,Yes,Yes,7,8.7
S2196,20.9,Yes,Yes,1,6.9
S2197,7.4,No,No,2,7.0
S2198,29.0,No,Yes,3,8.8
S2199,24.1,No,Yes,1,8.3
S2200,18.8,No,Yes,9,6.8
S2201,13.6,No,Yes,9,7.8
S2202,7.3,No,Yes,5,4.9
S2203,14.0,No,Yes,4,6.1
S2204,13.1,No,Yes,3,7.6
S2205,7.0,No,Yes,9,5.4
S2206,24.6,No,No,2,6.3
S2207,15.4,No,Yes,8,4.9
S2208,27.2,No,No,7,8.5
S2209,8.9,No,Yes,2,8.5
S2210,12.9,Yes,Yes,3,6.4
S2211,12.0,Yes,Yes,2,5.0
S2212,26.6,No,Yes,3,7.4
S2213,17.7,No,Yes,4,5.1
S2214,8.5,No,Yes,5,5.1
S2215,13.9,Yes,Yes,2,8.9
S2216,28.6,No,No,7,4.5
S2217,18.8,No,Yes,4,5.9
S2218,5.9,No,Yes,1,6.8
S2219,6.4,No,Yes,4,4.5
S2220,10.9,No,Yes,9,4.2
S2221,20.5,No,Yes,5,6.7
S2222,11.1,No,Yes,2,4.6
S2223,26.3,No,Yes,6,5.3
S2224,20.7,No,Yes,7,6.5
S2225,12.5,No,Yes,2,5.7
S2226,14.8,No,Yes,10,7.6
S2227,14.4,Yes,Yes,2,8.8
S2228,12.9,No,Yes,10,7.8
S2229,20.7,No,Yes,3,9.0
S2230,10.0,Yes,Yes,10,5.9
S2231,12.3,No,Yes,4,5.5
S2232,7.1,No,Yes,5,5.1
S2233,14.4,Yes,Yes,3,8.4
S2234,6.6,No,No,4,5.9
S2235,5.4,No,Yes,7,7.6
S2236,21.1,No,Yes,6,7.4
S2237,9.1,No,Yes,2,4.3
S2238,5.9,No,Yes,7,8.4
S2239,6.7,No,Yes,2,6.4
S2240,10.0,Yes,Yes,3,5.1
S2241,23.0,No,Yes,1,8.9
S2242,5.3,No,Yes,6,7.8
S2243,23.2,Yes,Yes,10,7.1
S2244,19.9,No,Yes,4,8.9
S2245,17.8,Yes,Yes,9,7.8
S2246,27.7,Yes,Yes,4,4.6
S2247,25.7,Yes,Yes,10,9.0
S2248,15.5,Yes,Yes,6,7.0
S2249,5.2,No,Yes,8,5.5
S2250,22.8,No,Yes,5,8.1
S2251,6.2,Yes,Yes,3,4.2
S2252,12.0,No,Yes,9,7.3
S2253,17.3,Yes,Yes,3,4.8
S2254,7.5,Yes,Yes,9,4.4
S2255,22.0,No,Yes,2,5.8
S2256,13.0,No,Yes,8,5.8
S2257,14.0,No,Yes,6,7.0
S2258,21.2,No,Yes,9,6.8
S2259,15.0,No,Yes,5,7.4
S2260,10.6,No,Yes,4,4.9
S2261,9.4,Yes,Yes,2,8.4
S2262,23.1,Yes,Yes,1,8.3
S2263,23.8,Yes,Yes,4,5.1
S2264,9.9,Yes,Yes,8,6.4
S2265,13.0,No,Yes,10,6.4
S2266,28.9,Yes,Yes,9,8.6
S2267,29.6,No,Yes,1,8.5
S2268,19.6,No,Yes,2,4.3
S2269,23.9,No,Yes,3,8.8
S2270,23.7,Yes,Yes,8,4.3
S2271,14.9,No,Yes,9,6.7
S2272,6.2,No,Yes,3,5.6
S2273,23.5,No,Yes,4,6.0
S2274,8.4,No,No,8,7.1
S2275,12.3,No,Yes,3,6.9
S2276,12.9,No,Yes,6,4.8
S2277,13.7,No,Yes,1,8.8
S2278,16.6,No,Yes,7,4.1
S2279,17.5,No,Yes,5,5.7
S2280,17.1,Yes,Yes,4,8.0
S2281,9.1,No,Yes,8,8.3
S2282,21.2,No,Yes,8,8.0
S2283,24.8,No,Yes,7,5.9
S2284,16.5,No,Yes,1,7.4
S2285,26.0,Yes,Yes,10,7.8
S2286,16.1,Yes,Yes,6,6.9
S2287,19.2,Yes,Yes,3,7.4
S2288,6.7,No,Yes,8,6.8
S2289,8.7,No,Yes,10,4.3
S2290,24.2,Yes,Yes,3,5.4
S2291,11.2,No,Yes,8,7.5
S2292,7.3,No,Yes,5,5.2
S2293,19.2,Yes,Yes,5,6.3
S2294,7.4,No,Yes,8,6.7
S2295,22.1,No,Yes,3,7.4
S2296,22.2,No,Yes,4,5.3
S2297,16.3,No,Yes,1,7.0
S2298,22.1,No,Yes,9,7.0
S2299,25.0,No,Yes,3,8.2
S2300,9.9,No,Yes,8,6.8
S2301,21.2,No,Yes,1,5.5
S2302,22.3,No,Yes,1,6.6
S2303,9.9,Yes,Yes,6,4.5
S2304,23.2,No,Yes,6,7.0
S2305,23.0,No,Yes,7,8.6
S2306,8.9,No,Yes,1,6.6
S2307,12.9,Yes,Yes,3,5.5
S2308,28.5,Yes,Yes,4,6.0
S2309,6.8,Yes,Yes,9,8.5
S2310,10.7,No,Yes,8,8.1
S2311,19.5,No,Yes,4,8.0
S2312,29.2,No,Yes,10,6.8
S2313,11.4,Yes,Yes,7,6.0
S2314,25.4,No,Yes,9,4.7
S2315,14.2,No,Yes,10,8.9
S2316,13.8,No,Yes,10,4.9
S2317,29.9,No,Yes,8,5.3
S2318,25.4,No,Yes,5,7.8
S2319,11.2,No,No,9,5.8
S2320,9.6,No,Yes,5,6.9
S2321,7.1,No,No,3,7.8
S2322,17.1,No,Yes,6,6.8
S2323,13.4,Yes,Yes,3,6.5
S2324,14.5,No,Yes,2,4.3
S2325,15.8,No,Yes,7,6.4
S2326,29.8,No,Yes,3,6.3
S2327,5.1,No,Yes,5,8.4
S2328,15.7,No,Yes,9,6.2
S2329,6.6,No,No,4,7.1
S2330,21.8,No,Yes,9,7.9
S2331,6.3,No,Yes,6,6.3
S2332,24.2,No,Yes,3,5.3
S2333,26.7,No,Yes,1,8.5
S2334,29.3,Yes,Yes,8,8.5
S2335,8.0,No,Yes,10,8.5
S2336,29.5,Yes,Yes,4,5.4
S2337,15.3,No,Yes,6,5.6
S2338,20.8,Yes,Yes,2,8.6
S2339,5.0,No,Yes,4,4.6
S2340,14.3,No,Yes,8,7.3
S2341,13.8,No,Yes,2,5.5
S2342,17.6,No,Yes,6,7.6
S2343,8.3,No,Yes,2,8.2
S2344,22.3,No,Yes,8,6.0
S2345,19.9,No,Yes,3,4.8
S2346,10.3,Yes,Yes,9,7.7
S2347,29.6,Yes,Yes,6,4.3
S2348,5.1,No,Yes,3,4.1
S2349,13.4,Yes,Yes,2,8.4
S2350,11.5,No,No,8,8.1
S2351,19.0,No,Yes,4,6.9
S2352,27.2,Yes,Yes,8,7.3
S2353,21.4,Yes,Yes,7,8.8
S2354,6.2,No,Yes,2,4.3
S2355,26.6,Yes,Yes,7,5.1
S2356,11.6,Yes,Yes,4,7.6
S2357,7.8,No,Yes,6,5.3
S2358,15.8,No,Yes,8,5.0
S2359,27.5,No,Yes,9,6.2
S2360,5.9,No,Yes,4,7.6
S2361,20.6,No,Yes,3,5.1
